ISO3,Country,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Account_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
RWA,Rwanda,14.3,2.95,4.43,20.7,,,,91.5,28.8,1000,0.930,111.58,25.2,42.8,16.7,59.5,Tier 2: Strong Opportunity
WSM,Samoa,0.2,0.04,0.06,17.7,,,,62.4,,5393,0.012,1.46,4.7,35.3,9.6,44.9,Tier 3: Moderate Opportunity
SMR,San Marino,0.0,0.00,0.01,10.3,,,,120.3,97.3,59880,0.001,0.13,0.4,0.5,23.6,24.1,Tier 5: Long-Term
STP,Sao Tome and Principe,0.2,0.05,0.07,21.1,,,,63.5,58.7,3491,0.016,1.88,7.2,42.3,15.1,57.4,Tier 2: Strong Opportunity
SAU,Saudi Arabia,35.3,5.22,7.83,14.8,,64.9,35.1,157.8,100.0,35122,1.644,197.30,0.7,18.1,32.9,51.0,Tier 3: Moderate Opportunity
SEN,Senegal,18.5,3.84,5.76,20.8,,63.3,36.7,123.9,59.2,1773,1.210,145.17,14.2,33.4,23.9,57.3,Tier 2: Strong Opportunity
SRB,Serbia,6.6,0.67,1.01,10.2,,37.9,62.1,128.5,85.4,13679,0.212,25.49,1.8,26.5,26.5,53.0,Tier 3: Moderate Opportunity
SYC,Seychelles,0.1,0.02,0.02,12.8,,,,129.2,86.0,17859,0.005,0.58,1.4,20.4,23.0,43.4,Tier 3: Moderate Opportunity
SLE,Sierra Leone,8.6,1.78,2.68,20.6,,36.5,63.5,107.9,23.7,807,0.562,67.43,31.2,40.7,16.7,57.3,Tier 2: Strong Opportunity
SGP,Singapore,6.0,0.91,1.36,15.0,,98.9,1.1,173.2,94.3,90674,0.285,34.25,0.3,5.3,31.5,36.8,Tier 4: Emerging Opportunity
SXM,Sint Maarten (Dutch part),0.0,0.01,0.01,11.8,,,,205.4,,41473,0.002,0.19,0.6,7.2,24.0,31.2,Tier 4: Emerging Opportunity
SVK,Slovak Republic,5.4,0.54,0.81,9.9,,81.1,18.9,138.2,87.2,25993,0.169,20.30,1.0,11.4,27.3,38.7,Tier 4: Emerging Opportunity
SVN,Slovenia,2.1,0.21,0.31,9.7,,98.6,1.4,129.2,90.4,34301,0.065,7.78,0.7,4.6,26.2,30.7,Tier 4: Emerging Opportunity
SLB,Solomon Islands,0.8,0.16,0.24,19.5,,,,62.1,28.7,1934,0.050,6.02,13.0,40.1,11.6,51.7,Tier 3: Moderate Opportunity
SOM,"Somalia, Fed. Rep.",19.0,3.79,5.68,19.9,,,,54.0,26.1,630,1.192,143.09,40.0,41.5,13.7,55.2,Tier 2: Strong Opportunity
ZAF,South Africa,64.0,10.46,15.69,16.3,,66.6,33.4,171.5,78.3,6267,3.296,395.47,4.0,26.9,31.3,58.2,Tier 2: Strong Opportunity
SSD,South Sudan,11.9,2.73,4.10,22.9,,,,46.6,,,0.861,103.30,,38.6,14.3,52.9,Tier 3: Moderate Opportunity
ESP,Spain,48.8,5.14,7.70,10.5,,100.0,0.0,127.7,95.5,35327,1.618,194.15,0.7,4.4,29.9,34.3,Tier 4: Emerging Opportunity
LKA,Sri Lanka,21.9,3.33,5.00,15.2,,75.1,24.9,142.3,51.2,4516,1.049,125.91,5.6,24.0,24.0,47.9,Tier 3: Moderate Opportunity
KNA,St. Kitts and Nevis,0.0,0.01,0.01,13.5,,,,118.9,76.6,23961,0.002,0.24,1.1,18.8,20.4,39.2,Tier 4: Emerging Opportunity
LCA,St. Lucia,0.2,0.03,0.04,14.6,,,,98.7,67.4,14182,0.008,0.99,1.8,25.5,18.4,43.9,Tier 3: Moderate Opportunity
MAF,St. Martin (French part),0.0,0.00,0.00,12.4,,,,,,,0.001,0.12,,7.3,,,
VCT,St. Vincent and the Grenadines,0.1,0.01,0.02,14.4,,,,101.6,75.5,11501,0.005,0.55,2.2,26.5,19.3,45.8,Tier 3: Moderate Opportunity
SDN,Sudan,50.4,10.24,15.36,20.3,,,,70.2,,985,3.226,387.14,25.6,42.1,19.1,61.2,Tier 2: Strong Opportunity
SUR,Suriname,0.6,0.11,0.16,17.3,,,,157.2,87.4,6962,0.035,4.14,3.6,33.8,27.2,61.0,Tier 2: Strong Opportunity
SWE,Sweden,10.6,1.21,1.82,11.4,,100.0,0.0,140.3,95.7,57117,0.381,45.74,0.4,1.4,29.5,31.0,Tier 4: Emerging Opportunity
CHE,Switzerland,9.0,0.90,1.35,10.0,,98.1,1.9,130.2,97.3,103998,0.283,33.92,0.2,0.5,28.7,29.2,Tier 4: Emerging Opportunity
SYR,Syrian Arab Republic,24.7,5.80,8.70,23.5,,,,72.4,,,1.826,219.17,,40.5,18.5,59.0,Tier 2: Strong Opportunity
TJK,Tajikistan,10.6,1.81,2.71,17.1,,29.8,70.2,76.2,54.4,1341,0.569,68.31,18.8,38.8,18.9,57.7,Tier 2: Strong Opportunity
TZA,Tanzania,68.6,13.85,20.77,20.2,,53.1,46.9,105.4,28.4,1187,4.362,523.45,21.2,35.7,19.2,54.9,Tier 3: Moderate Opportunity
THA,Thailand,71.7,8.94,13.40,12.5,,88.1,11.9,168.6,89.5,7347,2.815,337.77,3.4,17.0,32.6,49.6,Tier 3: Moderate Opportunity
TLS,Timor-Leste,1.4,0.30,0.46,21.7,,,,112.7,,1332,0.096,11.50,18.9,44.5,18.8,63.3,Tier 2: Strong Opportunity
TGO,Togo,9.5,1.85,2.78,19.5,,49.0,51.0,75.8,37.6,1119,0.584,70.12,22.5,36.1,16.4,52.5,Tier 3: Moderate Opportunity
TON,Tonga,0.1,0.02,0.03,20.2,,,,61.7,64.1,5652,0.007,0.80,4.5,39.7,15.0,54.6,Tier 3: Moderate Opportunity
TUN,Tunisia,12.3,1.68,2.52,13.7,,11.7,88.3,132.7,,4181,0.530,63.62,6.0,39.5,23.8,63.3,Tier 2: Strong Opportunity
TUR,Turkiye,85.5,12.56,18.85,14.7,,65.2,34.8,105.7,86.0,15893,3.958,474.92,1.6,23.1,27.7,50.8,Tier 3: Moderate Opportunity
TKM,Turkmenistan,7.5,1.07,1.60,14.2,,,,,,6857,0.336,40.32,3.7,28.3,18.0,46.4,Tier 3: Moderate Opportunity
TCA,Turks and Caicos Islands,0.0,0.01,0.01,11.4,,,,,,37507,0.002,0.20,0.7,8.6,,,
UGA,Uganda,50.0,10.83,16.25,21.7,,66.7,33.3,76.3,9.3,1078,3.412,409.41,23.4,33.6,13.9,47.4,Tier 3: Moderate Opportunity
UKR,Ukraine,37.9,3.80,5.71,10.0,,92.9,7.1,133.4,81.6,5389,1.199,143.82,4.7,13.8,28.0,41.8,Tier 3: Moderate Opportunity
ARE,United Arab Emirates,11.0,1.42,2.13,12.9,,79.4,20.6,199.4,100.0,50274,0.446,53.56,0.5,8.4,34.7,43.1,Tier 3: Moderate Opportunity
GBR,United Kingdom,69.2,8.09,12.14,11.7,,100.0,0.0,122.8,95.5,53246,2.550,305.95,0.5,1.7,30.0,31.7,Tier 4: Emerging Opportunity
USA,United States,340.1,44.71,67.07,13.1,,87.7,12.3,112.4,93.5,84534,14.084,1690.09,0.3,6.4,30.6,37.0,Tier 4: Emerging Opportunity
URY,Uruguay,3.4,0.48,0.71,14.1,,62.4,37.6,141.7,90.9,23907,0.150,18.01,1.1,21.0,28.0,49.0,Tier 3: Moderate Opportunity
UZB,Uzbekistan,36.4,5.26,7.88,14.5,,35.4,64.6,106.9,89.0,3162,1.655,198.64,8.0,34.2,27.4,61.6,Tier 2: Strong Opportunity
VUT,Vanuatu,0.3,0.06,0.09,17.6,,,,89.3,,3411,0.018,2.19,7.4,36.1,13.4,49.5,Tier 3: Moderate Opportunity
VEN,"Venezuela, RB",28.4,5.04,7.56,17.7,,76.4,23.6,70.2,76.3,4218,1.588,190.53,6.0,26.2,22.7,49.0,Tier 3: Moderate Opportunity
VNM,Viet Nam,101.0,13.78,20.67,13.6,,72.2,27.8,131.0,78.1,4717,4.341,520.96,5.3,23.1,28.5,51.7,Tier 3: Moderate Opportunity
VIR,Virgin Islands (U.S.),0.1,0.01,0.02,11.4,,,,91.5,,,0.004,0.45,,4.1,11.2,15.3,Tier 5: Long-Term
YEM,"Yemen, Rep.",40.6,7.84,11.76,19.3,,5.0,95.0,50.9,,,2.470,296.44,,44.6,16.4,61.0,Tier 2: Strong Opportunity
ZMB,Zambia,21.3,4.41,6.61,20.7,,61.5,38.5,102.1,33.0,1187,1.389,166.62,21.2,34.0,18.5,52.4,Tier 3: Moderate Opportunity
ZWE,Zimbabwe,16.6,3.50,5.24,21.0,,38.2,61.8,91.6,38.7,2497,1.101,132.13,10.1,40.2,18.3,58.5,Tier 2: Strong Opportunity
